image_path,mineral,durete
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_41.jpg,azurite,3.9
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_42.jpg,azurite,3.65
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_43.jpg,azurite,3.55
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_5.jpg,azurite,3.84
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_6.jpg,azurite,3.72
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_7.jpg,azurite,3.56
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_8.jpg,azurite,3.75
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_9.jpg,azurite,3.52
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_1.jpg,azurite,3.95
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_10.jpg,azurite,3.63
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_100.jpg,azurite,3.83
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_101.jpg,azurite,3.66
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_102.jpg,azurite,3.76
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_103.jpg,azurite,3.77
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_104.jpg,azurite,3.59
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_105.jpg,azurite,3.98
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_106.jpg,azurite,3.89
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_107.jpg,azurite,3.97
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_108.jpg,azurite,3.95
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_109.jpg,azurite,3.8
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_11.jpg,azurite,3.96
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_110.jpg,azurite,3.54
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_111.jpg,azurite,3.6
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_112.jpg,azurite,3.52
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_113.jpg,azurite,3.66
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_114.jpg,azurite,3.69
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_115.jpg,azurite,3.64
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_116.jpg,azurite,3.91
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_117.jpg,azurite,3.68
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_118.jpg,azurite,3.64
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_119.jpg,azurite,3.77
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_12.jpg,azurite,3.57
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_120.jpg,azurite,3.9
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_121.jpg,azurite,3.54
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_122.jpg,azurite,3.99
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_123.jpg,azurite,3.89
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_124.jpg,azurite,3.6
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_125.jpg,azurite,3.5
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_126.jpg,azurite,3.91
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_127.jpg,azurite,3.85
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_128.jpg,azurite,3.86
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_129.jpg,azurite,3.89
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_13.jpg,azurite,3.54
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_130.jpg,azurite,3.68
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_131.jpg,azurite,3.56
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_132.jpg,azurite,3.93
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_133.jpg,azurite,3.81
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_134.jpg,azurite,3.67
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_135.jpg,azurite,3.53
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_136.jpg,azurite,3.66
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_137.jpg,azurite,3.66
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_138.jpg,azurite,3.86
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_139.jpg,azurite,3.82
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_14.jpg,azurite,3.94
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_140.jpg,azurite,3.74
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_141.jpg,azurite,3.56
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_142.jpg,azurite,3.86
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_143.jpg,azurite,3.88
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_144.jpg,azurite,3.78
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_145.jpg,azurite,3.89
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_146.jpg,azurite,3.75
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_147.jpg,azurite,3.76
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_148.jpg,azurite,3.71
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_149.jpg,azurite,3.51
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_15.jpg,azurite,3.55
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_150.jpg,azurite,3.52
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_151.jpg,azurite,3.82
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_152.jpg,azurite,3.66
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_153.jpg,azurite,3.75
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_154.jpg,azurite,3.95
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_155.jpg,azurite,3.62
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_156.jpg,azurite,3.71
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_157.jpg,azurite,3.88
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_158.jpg,azurite,3.61
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_159.jpg,azurite,3.54
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_16.jpg,azurite,3.64
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_160.jpg,azurite,3.58
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_161.jpg,azurite,3.96
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_162.jpg,azurite,3.9
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_163.jpg,azurite,3.82
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_164.jpg,azurite,3.94
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_165.jpg,azurite,3.9
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_166.jpg,azurite,3.59
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_167.jpg,azurite,3.95
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_168.jpg,azurite,3.77
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_169.jpg,azurite,3.9
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_17.jpg,azurite,3.95
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_170.jpg,azurite,3.66
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_171.jpg,azurite,3.56
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_172.jpg,azurite,3.61
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_173.jpg,azurite,3.71
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_174.jpg,azurite,3.91
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_175.jpg,azurite,3.93
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_176.jpg,azurite,3.5
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_177.jpg,azurite,3.76
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_178.jpg,azurite,3.71
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_179.jpg,azurite,3.61
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_18.jpg,azurite,3.56
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_180.jpg,azurite,3.67
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_181.jpg,azurite,3.97
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_182.jpg,azurite,3.66
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_183.jpg,azurite,3.76
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_184.jpg,azurite,3.85
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_185.jpg,azurite,3.68
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_186.jpg,azurite,3.99
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_187.jpg,azurite,3.98
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_188.jpg,azurite,3.63
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_189.jpg,azurite,3.75
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_19.jpg,azurite,3.65
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_190.jpg,azurite,3.64
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_191.jpg,azurite,3.52
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_192.jpg,azurite,3.8
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_193.jpg,azurite,3.75
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_194.jpg,azurite,3.53
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_195.jpg,azurite,3.64
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_196.jpg,azurite,3.95
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_197.jpg,azurite,3.62
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_198.jpg,azurite,3.57
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_199.jpg,azurite,3.74
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_2.jpg,azurite,3.99
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_20.jpg,azurite,3.62
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_200.jpg,azurite,3.84
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_201.jpg,azurite,3.88
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_202.jpg,azurite,3.62
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_203.jpg,azurite,3.86
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_204.jpg,azurite,3.68
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_205.jpg,azurite,3.82
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_206.jpg,azurite,3.82
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_207.jpg,azurite,3.77
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_208.jpg,azurite,3.55
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_209.jpg,azurite,3.92
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_21.jpg,azurite,3.66
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_210.jpg,azurite,3.59
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_211.jpg,azurite,3.52
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_212.jpg,azurite,3.8
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_213.jpg,azurite,3.84
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_214.jpg,azurite,3.51
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_215.jpg,azurite,3.76
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_216.jpg,azurite,3.61
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_217.jpg,azurite,3.82
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_218.jpg,azurite,3.59
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_219.jpg,azurite,3.85
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_22.jpg,azurite,3.69
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_220.jpg,azurite,3.97
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_221.jpg,azurite,3.57
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_222.jpg,azurite,3.67
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_223.jpg,azurite,3.56
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_224.jpg,azurite,3.96
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_225.jpg,azurite,3.94
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_226.jpg,azurite,3.63
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_227.jpg,azurite,3.83
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_228.jpg,azurite,3.91
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_229.jpg,azurite,3.78
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_23.jpg,azurite,3.76
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_230.jpg,azurite,3.62
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_231.jpg,azurite,3.55
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_232.jpg,azurite,3.95
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_233.jpg,azurite,3.95
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_234.jpg,azurite,3.82
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_235.jpg,azurite,3.67
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_236.jpg,azurite,3.67
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_237.jpg,azurite,3.86
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_238.jpg,azurite,3.95
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_239.jpg,azurite,3.94
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_24.jpg,azurite,3.89
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_240.jpg,azurite,3.82
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_241.jpg,azurite,3.54
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_242.jpg,azurite,3.58
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_243.jpg,azurite,3.95
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_244.jpg,azurite,3.8
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_245.jpg,azurite,3.5
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_246.jpg,azurite,3.55
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_247.jpg,azurite,3.83
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_248.jpg,azurite,3.5
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_249.jpg,azurite,3.58
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_25.jpg,azurite,3.77
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_250.jpg,azurite,3.85
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_251.jpg,azurite,3.83
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_252.jpg,azurite,3.61
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_253.jpg,azurite,3.86
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_254.jpg,azurite,3.62
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_255.jpg,azurite,3.66
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_256.jpg,azurite,3.87
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_257.jpg,azurite,3.82
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_258.jpg,azurite,3.92
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_259.jpg,azurite,3.83
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_26.jpg,azurite,3.78
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_260.jpg,azurite,3.55
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_261.jpg,azurite,3.68
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_262.jpg,azurite,3.63
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_263.jpg,azurite,3.62
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_264.jpg,azurite,3.99
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_265.jpg,azurite,3.7
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_266.jpg,azurite,3.95
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_267.jpg,azurite,3.82
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_268.jpg,azurite,3.9
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_269.jpg,azurite,3.75
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_27.jpg,azurite,3.79
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_270.jpg,azurite,3.75
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_271.jpg,azurite,3.6
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_272.jpg,azurite,3.86
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_273.jpg,azurite,3.64
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_274.jpg,azurite,3.51
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_275.jpg,azurite,3.82
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_276.jpg,azurite,3.59
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_277.jpg,azurite,3.97
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_278.jpg,azurite,3.98
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_279.jpg,azurite,3.96
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_28.jpg,azurite,3.69
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_280.jpg,azurite,3.51
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_281.jpg,azurite,3.96
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_282.jpg,azurite,3.71
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_283.jpg,azurite,3.98
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_284.jpg,azurite,3.98
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_285.jpg,azurite,3.93
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_286.jpg,azurite,3.65
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_287.jpg,azurite,3.69
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_288.jpg,azurite,3.93
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_289.jpg,azurite,3.66
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_29.jpg,azurite,3.58
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_290.jpg,azurite,3.78
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_291.jpg,azurite,3.97
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_292.jpg,azurite,3.85
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_293.jpg,azurite,3.79
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_294.jpg,azurite,3.55
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_295.jpg,azurite,3.81
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_296.jpg,azurite,4.0
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_297.jpg,azurite,3.57
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_298.jpg,azurite,3.76
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_299.jpg,azurite,3.94
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_3.jpg,azurite,3.87
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_30.jpg,azurite,3.85
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_300.jpg,azurite,3.85
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_301.jpg,azurite,3.68
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_302.jpg,azurite,3.65
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_303.jpg,azurite,3.9
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_304.jpg,azurite,3.91
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_305.jpg,azurite,3.93
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_306.jpg,azurite,3.96
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_307.jpg,azurite,3.76
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_308.jpg,azurite,3.75
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_309.jpg,azurite,3.9
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_31.jpg,azurite,3.82
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_310.jpg,azurite,3.85
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_311.jpg,azurite,3.9
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_312.jpg,azurite,3.95
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_313.jpg,azurite,3.67
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_314.jpg,azurite,3.69
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_315.jpg,azurite,3.55
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_316.jpg,azurite,3.79
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_317.jpg,azurite,3.52
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_318.jpg,azurite,3.73
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_319.jpg,azurite,3.77
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_32.jpg,azurite,3.64
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_320.jpg,azurite,3.8
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_321.jpg,azurite,3.52
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_322.jpg,azurite,3.52
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_323.jpg,azurite,3.91
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_324.jpg,azurite,3.68
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_325.jpg,azurite,3.56
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_326.jpg,azurite,3.76
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_327.jpg,azurite,3.88
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_328.jpg,azurite,3.61
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_329.jpg,azurite,3.81
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_33.jpg,azurite,3.54
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_330.jpg,azurite,3.53
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_331.jpg,azurite,3.77
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_332.jpg,azurite,3.77
C:/Users/dembe/Desktop/projet_minerai/images\azurite\azurite_333.jpg,azurite,3.82
